string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14
KEY;AÑO;PERIODO;ZONA;REGION;COMUNA_INCOIN;DIRECCION;NUMERO;LONGITUD;LATITUD;TIPO DE PROPIEDAD;PROYECTO;DESARROLLADOR;VENDE;CONSTRUYE;NOMBRE TIPOLOGIA;TIPO DE COCINA;TIPO CATEGORIA;INICIO VENTAS;FECHA ENTREGA ESTIMADA;ESTADO OBRA;ESTADO PROYECTO;STOCK INICIAL;OFERTA DEL PERIODO;OFERTA DISPONIBLE;UNIDADES VENDIDAS;TIPOLOGIA;PLAZAS;PRECIO PROMEDIO;SUPERFICIE PROMEDIO;SUP TERRAZA PROMEDIO;SUPERFICIE TERRENO;UF/M² PROMEDIO;UNIDADES/MES (P);UNIDADES/MES (A);MESES PARA AGOTAR STOCK (A);PRECIO MINIMO UF;PRECIO MAXIMO UF;MESES EN VENTA;NRO. PISOS;CANT ESTACIONAMIENTOS;PRECIO ESTACIONAMIENTO;PRECIO BODEGA;PILOTO DISPONIBLE;SALA DE VENTAS EN EL PROYECTO;DESCUENTO PROMEDIO;TIPO DE SUBSIDIO,,,,,,,,,,,,,,
2P 2023 VICUÑA MACKENNA 1194;2023;2P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,2;0;0;0;51,3;18;240;365;71;NO;NO;4%;SIN SUBSIDIO,,,,,,,
2P 2024 VICUÑA MACKENNA 1194;2024;2P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;63,2;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
2P 2025 VICUÑA MACKENNA 1194;2025;2P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;75,2;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
3P 2019 VICUÑA MACKENNA 1194;2019;3P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;julio-2022;OBRA GRUESA;EN VENTA;8;0;0;2;1D-1B;2;2.826,3;38,31;4,29;-;73,8;0,7;0,4;16;2900;3050;5,4;18;240;365;71;NO;SI;5%;SIN SUBSIDIO,,,,,
3P 2020 VICUÑA MACKENNA 1194;2020;3P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;julio-2022;OBRA GRUESA;EN VENTA;8;0;0;2;1D-1B;2;2.873,3;38,31;4,29;-;75,0;0,7;0,4;0;3008;3041;18,0;18;240;365;71;NO;SI;10%;SIN SUBSIDIO,,,,,
3P 2021 VICUÑA MACKENNA 1194;2021;3P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;diciembre-2022;TERMINACIONES;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,3;0;0;0;30,1;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
3P 2022 VICUÑA MACKENNA 1194;2022;3P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,2;0;0;0;42,3;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
3P 2023 VICUÑA MACKENNA 1194;2023;3P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;54,4;18;240;365;71;NO;NO;4%;SIN SUBSIDIO,,,,,,,
3P 2024 VICUÑA MACKENNA 1194;2024;3P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;66,1;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
3P 2025 VICUÑA MACKENNA 1194;2025;3P;CENTRO;RM;ÑUÑOA;VICUÑA MACKENNA;1194;-33,4565;-70,62927;DEPARTAMENTO;VICUÑA MACKENNA 1194;STITCHKIN;STITCHKIN;SANTOLAYA;3;INTEGRADA;DUPLEX;01-04-2019;junio-2022;ENTREGADO;EN VENTA;8;0;0;0;1D-1B;2;0,0;-;4,29;-;-;0,0;0,1;0;0;0;78,3;18;240;365;71;NO;SI;4%;SIN SUBSIDIO,,,,,,,
