string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14
KEY;AÑO;PERIODO;ZONA;REGION;COMUNA_INCOIN;DIRECCION;NUMERO;LONGITUD;LATITUD;TIPO DE PROPIEDAD;PROYECTO;DESARROLLADOR;VENDE;CONSTRUYE;NOMBRE TIPOLOGIA;TIPO DE COCINA;TIPO CATEGORIA;INICIO VENTAS;FECHA ENTREGA ESTIMADA;ESTADO OBRA;ESTADO PROYECTO;STOCK INICIAL;OFERTA DEL PERIODO;OFERTA DISPONIBLE;UNIDADES VENDIDAS;TIPOLOGIA;PLAZAS;PRECIO PROMEDIO;SUPERFICIE PROMEDIO;SUP TERRAZA PROMEDIO;SUPERFICIE TERRENO;UF/M² PROMEDIO;UNIDADES/MES (P);UNIDADES/MES (A);MESES PARA AGOTAR STOCK (A);PRECIO MINIMO UF;PRECIO MAXIMO UF;MESES EN VENTA;NRO. PISOS;CANT ESTACIONAMIENTOS;PRECIO ESTACIONAMIENTO;PRECIO BODEGA;PILOTO DISPONIBLE;SALA DE VENTAS EN EL PROYECTO;DESCUENTO PROMEDIO;TIPO DE SUBSIDIO,,,,,,,,,,,,,,
4P 2018 UPTOWN;2018;4P;CENTRO;RM;VITACURA;FERNANDO DE ARGUELLO;7505;-33,3923;-70,55734;DEPARTAMENTO;UPTOWN;IKA CPA;FUENZALIDA;EBCO;1D1B;AMERICANA;DUPLEX;01-04-2015;abril-2018;ENTREGADO;VENDIDO;9;0;0;0;1D-1B;2;0,0;-;6,24;-;-;0,0;0,2;0;0;0;44,8;10;-;0;0;SI;SI;0%;SIN SUBSIDIO,,,,,,,
1P 2017 TERRAZAS MIRASOL;2017;1P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;marzo-2018;TERMINACIONES;EN VENTA;20;0;0;3;1D-1B;2;2.070,0;38,72;5,355;-;53,5;1,1;1,1;13;1800;2340;5,5;17;-;295;50;SI;NO;0%;RENOVACION URBANA,,,,,
1P 2018 TERRAZAS MIRASOL;2018;1P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;julio-2018;TERMINACIONES;EN VENTA;20;0;0;1;1D-1B;2;2.150,0;38,72;5,355;-;55,5;0,3;0,8;6;1950;2350;17,8;17;131;280;50;NO;SI;0%;RENOVACION URBANA,,,,,
2P 2017 TERRAZAS MIRASOL;2017;2P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;junio-2018;TERMINACIONES;EN VENTA;20;0;0;3;1D-1B;2;2.070,0;38,72;5,355;-;53,5;1,1;1,1;10;1800;2340;8,2;17;-;295;50;SI;SI;0%;RENOVACION URBANA,,,,,
2P 2018 TERRAZAS MIRASOL;2018;2P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;julio-2018;TERMINACIONES;EN VENTA;20;0;0;2;1D-1B;2;2.150,0;38,72;5,355;-;55,5;0,7;0,8;4;1950;2350;20,7;17;131;280;50;SI;SI;0%;RENOVACION URBANA,,,,,
3P 2017 TERRAZAS MIRASOL;2017;3P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;junio-2018;TERMINACIONES;EN VENTA;20;0;0;2;1D-1B;2;2.185,0;38,72;5,355;-;56,4;0,6;0,9;10;1930;2440;11,8;17;-;295;50;NO;SI;0%;RENOVACION URBANA,,,,,
3P 2018 TERRAZAS MIRASOL;2018;3P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;julio-2018;ENTREGADO;VENDIDO;20;0;0;3;1D-1B;2;1.940,0;38,72;5,355;-;50,1;1,0;0,8;0;1880;2000;23,7;17;131;280;50;SI;NO;0%;RENOVACION URBANA,,,,,
4P 2016 TERRAZAS MIRASOL;2016;4P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;marzo-2018;TERMINACIONES;NUEVO;20;20;0;3;1D-1B;2;2.070,0;38,72;5,355;-;53,5;1,1;1,1;15;1800;2340;2,7;17;-;295;50;SI;NO;0%;RENOVACION URBANA,,,,,
4P 2017 TERRAZAS MIRASOL;2017;4P;CENTRO;RM;SAN MIGUEL;PRIMERA AVENIDA;1510;-33,5026;-70,66272;DEPARTAMENTO;TERRAZAS MIRASOL;MIRASOL;PANGEA;EMARCO;LOFT 1-2;KITCHENETTE;DUPLEX;05-10-2016;junio-2018;TERMINACIONES;EN VENTA;20;0;0;3;1D-1B;2;2.185,0;38,72;5,355;-;56,4;1,1;1,0;6;1930;2440;14,6;17;-;295;50;NO;SI;0%;RENOVACION URBANA,,,,,
1P 2020 STGO 3;2020;1P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;CIERRE DE TERRENO;EN VENTA;7;0;0;0;1D-1B;2;2.269,2;27,17;0;-;83,5;0,0;0,2;21;2423;2510;8,3;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
1P 2021 STGO 3;2021;1P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2022;INSTALACION DE FAENAS;EN VENTA;7;0;0;0;1D-1B;2;2.269,2;27,17;0;-;83,5;0,0;0,1;51;2423;2510;20,5;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
1P 2022 STGO 3;2022;1P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;OBRA GRUESA;EN VENTA;7;0;0;0;1D-1B;2;2.141,6;27,17;0;-;78,8;0,0;0,1;82;2677;2677;32,6;8;-;370;80;NO;NO;20%;SIN SUBSIDIO,,,,,,
1P 2023 STGO 3;2023;1P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;TERMINACIONES;EN VENTA;7;0;0;0;1D-1B;2;2.796,5;27,17;0;-;102,9;0,0;0,0;112;2768;2825;44,8;8;-;370;80;NO;NO;0%;SIN SUBSIDIO,,,,,,
1P 2024 STGO 3;2024;1P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;0;1D-1B;2;2.670,0;27,17;0;-;98,3;0,0;0,1;43;2670;2670;57,0;8;-;400;80;SI;SI;0%;SIN SUBSIDIO,,,,,,
1P 2025 STGO 3;2025;1P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;0;1D-1B;2;2.660,0;-;0;-;-;0,0;0,1;0;2660;2660;69,3;8;-;400;80;SI;SI;0%;SIN SUBSIDIO,,,,,,,,
2P 2020 STGO 3;2020;2P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;CIERRE DE TERRENO;EN VENTA;7;0;0;0;1D-1B;2;2.269,2;27,17;0;-;83,5;0,0;0,2;28;2423;2510;11,3;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
2P 2021 STGO 3;2021;2P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2022;OBRA GRUESA;EN VENTA;7;0;0;0;1D-1B;2;2.392,0;27,17;0;-;88,0;0,0;0,1;59;2500;2700;23,5;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
2P 2022 STGO 3;2022;2P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2022;OBRA GRUESA;EN VENTA;7;0;0;0;1D-1B;2;2.237,2;27,17;0;-;82,3;0,0;0,1;89;2768;2825;35,7;8;-;370;80;NO;NO;20%;SIN SUBSIDIO,,,,,,
2P 2023 STGO 3;2023;2P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;0;1D-1B;2;2.796,5;27,17;0;-;102,9;0,0;0,0;120;2768;2825;47,8;8;-;400;80;SI;NO;0%;SIN SUBSIDIO,,,,,,
2P 2024 STGO 3;2024;2P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;1;1D-1B;2;2.685,0;27,17;0;-;98,8;0,3;0,1;24;2680;2690;60,2;8;-;400;80;SI;SI;0%;SIN SUBSIDIO,,,,,,
2P 2025 STGO 3;2025;2P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;0;1D-1B;2;0,0;-;0;-;-;0,0;0,1;0;0;0;72,3;8;-;400;80;SI;SI;0%;SIN SUBSIDIO,,,,,,,,
3P 2019 STGO 3;2019;3P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;POR CONSTRUIR;NUEVO;7;7;0;1;1D-1B;2;2.269,2;27,17;0;-;83,5;0,3;0,3;18;2423;2510;2,9;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
3P 2020 STGO 3;2020;3P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;INSTALACION DE FAENAS;EN VENTA;7;0;0;0;1D-1B;2;2.269,2;27,17;0;-;83,5;0,0;0,1;36;2423;2510;14,4;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
3P 2021 STGO 3;2021;3P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;OBRA GRUESA;EN VENTA;7;0;0;0;1D-1B;2;2.080,0;27,17;0;-;76,6;0,0;0,1;66;2500;2700;26,5;8;-;370;80;NO;NO;20%;SIN SUBSIDIO,,,,,,
3P 2022 STGO 3;2022;3P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;OBRA GRUESA;EN VENTA;7;0;0;0;1D-1B;2;2.237,2;27,17;0;-;82,3;0,0;0,1;97;2768;2825;38,7;8;-;370;80;NO;NO;20%;SIN SUBSIDIO,,,,,,
3P 2023 STGO 3;2023;3P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;1;1D-1B;2;2.660,0;27,17;0;-;97,9;0,3;0,1;68;2660;2660;50,9;8;-;400;80;SI;NO;0%;SIN SUBSIDIO,,,,,,
3P 2024 STGO 3;2024;3P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;1;1D-1B;2;2.660,0;27,17;0;-;97,9;0,3;0,1;11;2660;2660;63,2;8;-;400;80;SI;SI;0%;SIN SUBSIDIO,,,,,,
3P 2025 STGO 3;2025;3P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;0;1D-1B;2;0,0;-;0;-;-;0,0;0,1;0;0;0;75,5;8;-;430;90;SI;NO;0%;SIN SUBSIDIO,,,,,,,,
4P 2019 STGO 3;2019;4P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;POR CONSTRUIR;EN VENTA;7;0;0;1;1D-1B;2;2.269,2;27,17;0;-;83,5;0,4;0,4;13;2423;2510;5,2;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
4P 2020 STGO 3;2020;4P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;INSTALACION DE FAENAS;EN VENTA;7;0;0;0;1D-1B;2;2.269,2;27,17;0;-;83,5;0,0;0,1;44;2423;2510;17,5;8;-;370;80;NO;NO;10%;SIN SUBSIDIO,,,,,,
4P 2021 STGO 3;2021;4P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;diciembre-2021;OBRA GRUESA;EN VENTA;7;0;0;0;1D-1B;2;2.141,6;27,17;0;-;78,8;0,0;0,1;74;2677;2677;29,6;8;-;370;80;NO;NO;20%;SIN SUBSIDIO,,,,,,
4P 2022 STGO 3;2022;4P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;OBRA GRUESA;EN VENTA;7;0;0;0;1D-1B;2;2.237,2;27,17;0;-;82,3;0,0;0,0;105;2768;2825;41,8;8;-;370;80;NO;NO;20%;SIN SUBSIDIO,,,,,,
4P 2023 STGO 3;2023;4P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;1;1D-1B;2;2.660,0;27,17;0;-;97,9;0,3;0,1;40;2660;2660;54,0;8;-;400;80;SI;NO;0%;SIN SUBSIDIO,,,,,,
4P 2024 STGO 3;2024;4P;CENTRO;RM;SANTIAGO;ROBERTO ESPINOZA;642;-33,4534;-70,65325;DEPARTAMENTO;STGO 3;ARMAS;ARMAS;ARMAS;-;INTEGRADA;DUPLEX;02-07-2019;junio-2023;ENTREGADO;EN VENTA;7;0;0;1;1D-1B;2;2.660,0;27,17;0;-;97,9;0,3;0,1;0;2660;2660;66,3;8;-;400;80;SI;SI;0%;SIN SUBSIDIO,,,,,,
1P 2019 SEMINARIO 763;2019;1P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;septiembre-2020;OBRA GRUESA;EN VENTA;12;0;0;3;1D-1B;2;3.686,0;44,03;3,48;-;83,7;1,1;0,3;28;3830;3930;9,2;21;231;420;75;NO;SI;5%;SIN SUBSIDIO,,,,,
1P 2020 SEMINARIO 763;2020;1P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;diciembre-2020;TERMINACIONES;EN VENTA;12;0;0;1;1D-1B;2;4.210,4;44,03;3,48;-;95,6;0,3;0,5;2;4432;4432;21,9;21;231;420;75;NO;SI;5%;SIN SUBSIDIO,,,,,
1P 2021 SEMINARIO 763;2021;1P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;1;1D-1B;2;4.204,2;44,03;3,48;-;95,5;0,3;0,4;0;4290;4290;34,2;21;231;380;75;NO;SI;5%;SIN SUBSIDIO,,,,,
1P 2022 SEMINARIO 763;2022;1P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,3;0;0;0;46,3;21;231;380;75;SI;SI;5%;SIN SUBSIDIO,,,,,,,
1P 2023 SEMINARIO 763;2023;1P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;VENDIDO;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,2;0;0;0;58,3;21;231;400;75;SI;NO;5%;SIN SUBSIDIO,,,,,,,
2P 2019 SEMINARIO 763;2019;2P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;septiembre-2020;OBRA GRUESA;EN VENTA;12;0;0;2;1D-1B;2;4.152,5;44,03;3,48;-;94,3;0,6;0,4;18;4050;4880;12,5;21;231;420;75;NO;SI;7%;SIN SUBSIDIO,,,,,
2P 2020 SEMINARIO 763;2020;2P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;noviembre-2020;TERMINACIONES;EN VENTA;12;0;0;0;1D-1B;2;4.106,2;44,03;3,48;-;93,3;0,0;0,4;2;4190;4190;25,1;21;231;400;75;NO;SI;5%;SIN SUBSIDIO,,,,,
2P 2021 SEMINARIO 763;2021;2P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,3;0;0;0;37,1;21;231;380;75;NO;SI;5%;SIN SUBSIDIO,,,,,,,
2P 2022 SEMINARIO 763;2022;2P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,2;0;0;0;49,3;21;231;400;75;SI;SI;5%;SIN SUBSIDIO,,,,,,,
3P 2018 SEMINARIO 763;2018;3P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;septiembre-2020;POR CONSTRUIR;NUEVO;12;12;0;0;1D-1B;2;4.027,8;44,03;3,48;-;91,5;0,0;0,0;-;3920;4300;3,4;21;231;420;75;NO;SI;2%;SIN SUBSIDIO,,,,,
3P 2019 SEMINARIO 763;2019;3P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;septiembre-2020;TERMINACIONES;EN VENTA;12;0;0;1;1D-1B;2;4.674,0;44,03;3,48;-;106,2;0,3;0,4;16;4480;5360;15,6;21;231;420;75;NO;SI;5%;SIN SUBSIDIO,,,,,
3P 2020 SEMINARIO 763;2020;3P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;febrero-2021;TERMINACIONES;EN VENTA;12;0;0;0;1D-1B;2;3.812,2;44,03;3,48;-;86,6;0,0;0,4;3;3890;3890;28,1;21;231;400;75;NO;SI;5%;SIN SUBSIDIO,,,,,
3P 2021 SEMINARIO 763;2021;3P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,3;0;0;0;40,2;21;231;380;75;NO;SI;5%;SIN SUBSIDIO,,,,,,,
3P 2022 SEMINARIO 763;2022;3P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,2;0;0;0;52,4;21;231;400;75;SI;SI;5%;SIN SUBSIDIO,,,,,,,
4P 2018 SEMINARIO 763;2018;4P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;septiembre-2020;OBRA GRUESA;EN VENTA;12;0;0;0;1D-1B;2;3.728,8;44,03;3,48;-;84,7;0,0;0,0;-;3880;3970;6,4;21;231;420;75;NO;SI;5%;SIN SUBSIDIO,,,,,
4P 2019 SEMINARIO 763;2019;4P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;septiembre-2020;TERMINACIONES;EN VENTA;12;0;0;4;1D-1B;2;4.332,0;44,03;3,48;-;98,4;1,2;0,5;4;4530;4590;18,9;21;231;420;75;NO;SI;5%;SIN SUBSIDIO,,,,,
4P 2020 SEMINARIO 763;2020;4P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;TERMINACIONES;EN VENTA;12;0;0;0;1D-1B;2;4.204,2;44,03;3,48;-;95,5;0,0;0,4;3;4290;4290;31,1;21;231;380;75;NO;SI;5%;SIN SUBSIDIO,,,,,
4P 2021 SEMINARIO 763;2021;4P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,3;0;0;0;43,1;21;231;380;75;SI;SI;5%;SIN SUBSIDIO,,,,,,,
4P 2022 SEMINARIO 763;2022;4P;CENTRO;RM;ÑUÑOA;SEMINARIO;763;-33,4514;-70,62753;DEPARTAMENTO;SEMINARIO 763;ALMAGRO;ALMAGRO;ALMAGRO;202 al 5027 208 AL 58;KITCHENETTE;DUPLEX;01-06-2018;marzo-2021;ENTREGADO;EN VENTA;12;0;0;0;1D-1B;2;0,0;-;3,48;-;-;0,0;0,2;0;0;0;55,4;21;231;400;75;SI;SI;5%;SIN SUBSIDIO,,,,,,,
1P 2018 ÑUÑOA CONNECT;2018;1P;CENTRO;RM;ÑUÑOA;AV. IRARRAZABAL;2731;-33,4545;-70,60267;DEPARTAMENTO;ÑUÑOA CONNECT;FORTALEZA;FORTALEZA;FORTALEZA;1501/1502/1503;KITCHENETTE;DUPLEX;15-11-2017;junio-2020;POR CONSTRUIR;EN VENTA;3;0;0;0;1D-1B;2;4.300,0;42,16;2,54;-;102,0;0,0;0,0;-;4300;4300;3,7;16;137;400;80;NO;SI;0%;SIN SUBSIDIO,,,,,
